lat,lon,altitude,geometry,OBJECTID,STORE_TYPE,STORE_NAME,ADDRESS_ID,ADDRESS_LI,ADDRESS__1,CITY,STATE,ZIP,PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,POINT_X,POINT_Y,HCSI,NBHD_NAME,COUNCIL_DI
39.784969,-105.005719,,Point,3,Small Grocery Store,Leever's / Save A Lot,0,4860 Pecos St,,Denver,CO,80221,(720) 855-6622,,,541105,445110,774000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-105.005719,39.784969,,Chaffee Park,Council District 1
39.776362,-105.011573,,Point,10,Small Grocery Store,Tejon Market,0,4385 Tejon St,,Denver,CO,80211,(720) 855-7792,,,541105,445110,258000,,1,1 to 4,,"0 - 2,499",InfoGroup2014,-105.011573,39.776362,,Sunnyside,Council District 1
39.776901,-104.999019,,Point,11,Specialty Food Store,Canino's Sausage Co Inc,0,4414 Jason St,,Denver,CO,80211,(303) 455-4339,,,542108,445210,3153000,,15,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.999019,39.776901,,Sunnyside,Council District 1
39.768842,-105.019624,,Point,16,Small Grocery Store,Leever's / Save A Lot,0,2630 W 38th Ave,,Denver,CO,80211,(303) 433-4405,,,541105,445110,3870000,,15,10 to 19,,"2,500 - 9,999",InfoGroup2014,-105.019624,39.768842,,Highland,Council District 1
39.765758,-105.002814,,Point,17,Small Grocery Store,Variety Supermarket,0,3500 Mariposa St,,Denver,CO,80211,(303) 458-0109,,,541105,445110,516000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-105.002814,39.765758,,Highland,Council District 1
39.761908,-105.019742,,Point,18,Specialty Food Store,Rosales Bakery,0,2636 W 32ND AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.019742,39.761908,,Highland,Council District 1
39.757215,-105.008749,,Point,19,Specialty Food Store,Savory Spice Shop,0,1537 Platte St,,Denver,CO,80202,(303) 477-3322,,,549902,445299,458000,,4,1 to 4,,"2,500 - 9,999",InfoGroup2014,-105.008749,39.757215,,Highland,Council District 1
39.755435,-105.024379,,Point,22,Supermarket,Safeway,0,2660 Federal Blvd,,Denver,CO,80211,(303) 477-5091,,,541105,445110,18061000,,70,50 to 99,,"2,500 - 9,999",InfoGroup2014,-105.024379,39.755435,,Jefferson Park,Council District 1
39.760044,-105.046167,,Point,31,Specialty Food Store,Gluten Free Goods,0,2990 Vrain St,,Denver,CO,80212,(303) 482-1183,,,541105,445110,774000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-105.046167,39.760044,,West Highland,Council District 1
39.761888,-105.033132,,Point,32,Specialty Food Store,Happy Cakes,0,3434 W 32ND AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.033132,39.761888,,West Highland,Council District 1
39.762365,-105.03384,,Point,33,Specialty Food Store,Seafood Landing,0,3457 W 32nd Ave,,Denver,CO,80211,(303) 571-1995,,,542101,445220,210000,,1,1 to 4,,"0 - 2,499",InfoGroup2014,-105.03384,39.762365,,West Highland,Council District 1
39.762367,-105.034947,,Point,34,Specialty Food Store,St Kilian's Cheese Shop,0,3211 Lowell Blvd,,Denver,CO,80211,(303) 477-0374,,,545103,445299,159000,,2,1 to 4,,"0 - 2,499",InfoGroup2014,-105.034947,39.762367,,West Highland,Council District 1
39.77606,-105.036935,,Point,46,Supermarket,Safeway,0,3800 W 44th Ave,,Denver,CO,80211,(303) 458-8418,,,541105,445110,28382000,,110,100 to 249,,"40,000+",InfoGroup2014,-105.036935,39.77606,,Berkeley,Council District 1
39.771336,-105.034272,,Point,47,Specialty Food Store,Belfiore Genuine Italian Sausage,0,3930 Lowell Blvd,,Denver,CO,80211,(303) 455-4653,,,542107,445210,1051000,,5,5 to 9,,"0 - 2,499",InfoGroup2014,-105.034272,39.771336,,Berkeley,Council District 1
39.789909,-105.026604,,Point,49,Small Grocery Store,Longmont Meats,0,5115 N FEDERAL BLVD,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-105.026604,39.789909,,Regis,Council District 1
39.778179,-104.980979,,Point,53,Small Grocery Store,Panaderia Emmanuel,0,500 E 45TH AVE,,Denver,CO,,n/a,,,,,0,,0,,,,DEH2014,-104.980979,39.778179,Healthy Corner Store Initiative,Globeville,Council District 9
39.787518,-104.975907,,Point,54,Specialty Food Store,Custom Superfresh Poultry,0,810 E 50th Ave,,Denver,CO,80216,(303) 292-9898,,,549907,445210,343000,,3,1 to 4,,"2,500 - 9,999",InfoGroup2014,-104.975907,39.787518,,Globeville,Council District 9
39.774078,-104.972962,,Point,63,Small Grocery Store,Singles Market Place,0,3950 Wynkoop St,,Denver,CO,80216,(303) 295-3000,,,541105,445110,774000,,3,1 to 4,,"0 - 2,499",InfoGroup2014,-104.972962,39.774078,,Elyria Swansea,Council District 9
39.782663,-104.959867,,Point,64,Specialty Food Store,Growhaus,0,4751 York St,,Denver,CO,80216,(720) 502-3399,,,543102,445230,1011000,,5,5 to 9,,"0 - 2,499",InfoGroup2014,-104.959867,39.782663,,Elyria Swansea,Council District 9
39.789284,-104.951492,,Point,65,Specialty Food Store,Swansea Corner Store,0,3075 E 51st Ave,,Denver,CO,80216,(303) 292-2574,,,541105,445110,258000,,1,1 to 4,,"0 - 2,499",InfoGroup2014,-104.951492,39.789284,,Elyria Swansea,Council District 9
